index,ocupacion,clasificacion-oit
13393,planificadora de planta,21
13394,tec en enfer,32
13395,encargada de becas,33
13396,asistented e educacion ad,36
13397,trabajadora de despacho,41
13398,instrumentista quirurjica,32
13399,auxiliar linea,41
13400,enc unidadanalisis y con,24
13401,maquinista encargada,81
13402,impector municipal,31
13403,administartiva,33
13404,ayudante area legal,34
13405,alineador de auto,72
13406,educadora difer,23
13407,jefe guardia seguridad,54
13408,asistente diferencia,41
13409,supervisor de produc,13
13410,at al cliente,42
13411,maestra carpintero,73
13412,kam negocios masivos,24
13413,electromecanico m1,31
13414,enfierrador carpinteria,72
13415,empalillado,92
13416,tens apoyo covid,51
13417,soladador,72
13418,asistente aministrativa,44
13419,encargado se servico,42
13420,controlador forestal,62
13421,repartidor de carta,83
13422,soporte de redes sociales,25
13423,conductor y envasador,83
13424,experta en linea,25
13425,auxiliar servivio,41
13426,op cargador frontal,81
13427,psicologa de programa int,23
13428,administrador der bodega,12
13429,tecnico en pavimento,31
13430,ejecutor merchandising,24
13431,camillera de ambulancia,22
13432,ayudante terminaciones,82
13433,productora de prensa,73
13434,agentes de copamiento,12
13435,administrativa asis edu,41
13436,operaria biblioteca,41
13437,tec acopio,31
13438,jefe deproduccion,13
13439,inspectora administrativa,33
13440,asiste de medio ambiente,32
13441,maestro frenero,72
13442,inspectoria,34
13443,tec en biotegnologia ind,31
13444,operador de gruas,81
13445,conductor apiladora elect,83
13446,operadora trainin,81
13447,supervisora de habitacion,14
13448,decente academico,23
13449,galopador y cuidador,51
13450,capacitacion,36
13451,vendedor minorista,52
13452,operador programador,25
13453,maetro en enfirador,22
13454,auxiliar y copera,91
13455,adf ministrador de turno,14
13456,encargado presupuesto,24
13457,gerente admin y finanzas,12
13458,evaluadora de proyectos,24
13459,asistente admon,41
13460,jefe de bodega y logistic,12
13461,jefa devolucion,11
13462,sierrero,62
13463,perapeuta ocupacional,22
13464,operari agricola,61
13465,apoyo operaciones,33
13466,tecbico en comercio exter,33
13467,portador,53
13468,jefa niv de estudios,11
13469,oficial de fiscal,26
13470,movilizador de barco,83
13471,mantencion de buses,72
13472,inventigador analitico,21
13473,secretaria de sige,41
13474,sushera pm,53
13475,operaria de turno,81
13476,tecnico en sociologia,34
13477,coordina operaciones,24
13478,administrador hotel,14
13479,operadora de salones,51
13480,control ticket,41
13481,bibiliotecaria,34
13482,analista señor,24
13483,tec soporte,25
13484,ayudante encargada,41
13485,operador de blobo aerosta,83
13486,aux de reparto,82
13487,auxiliar de coperia,91
13488,representante de medico,22
13489,inspector de medidores,82
13490,asistente de montaje,82
13491,profesor biologia,23
13492,venta en terreno,52
13493,jefe del departamento,11
13494,coordinadora de tasacion,24
13495,jefe de local y quimico f,12
13496,psicolaga,26
13497,edc de parvulo,23
13498,asesora de servicio,42
13499,operadora aseo,91
13500,supervisor thermoformado,73
13501,inspector general de aseo,54
13502,asdministrador,24
13503,psicologo de convivencia,26
13504,bodeguero y ayudante,42
13505,ispectora de patio,91
13506,administrativa curricular,33
13507,grazon,no hay una ocupación llamada "grazon" en la lista proporcionada. por favor verifica la ocupación y envíamela nuevamente para poder clasificarla.
13508,director de streaming,12
13509,mecanico mantecion,72
13510,diseñador digital,25
13511,jardinero forestal,62
13512,jefa de cosina,94
13513,operador mantenedor quimi,31
13514,labores de obrero,93
13515,camion pluma,83
13516,jefe de cuentas a pagar,33
13517,cajero polofuncional,42
13518,corte y dimension,72
13519,coordinadora de prosesos,24
13520,maestro alcantarillado,71
13521,ensacador,92
13522,armador de carroceria cam,72
13523,tecnico en educ diferenci,36
13524,operador radio,81
13525,prevension de ruesgo,34
13526,apoyo de utp,36
13527,liniero mt bt,71
13528,directora del centro,14
13529,ararife,61
13530,tripulante de nave menor,92
13531,operario supervisor maes,13
13532,tecnico paramedico tens,32
13533,matriz,31
13534,supervisora de ama de lla,91
13535,toa patio equipaje,53
13536,secretaria de division,41
13537,operario polifuncional bo,71
13538,cuidadora de adultos mayo,51
13539,labores de huerto,63
13540,mecanic de planta,72
13541,instalador de internet,35
13542,ejecutivo venta,12
13543,tec multifuncial,31
13544,pioneta bodega,91
13545,operador de maqina sellad,81
13546,directora de docentes,23
13547,maestra hidraulica,71
13548,ayudante mineria,93
13549,gestora logistica,14
13550,operario jr,71
13551,electrico mecanico,31
13552,jefe de alimentos y bebid,14
13553,asistente de pabellon,32
13554,tecnico en atencion de parvulo,36
13555,jefe provincial vialidad,11
13556,patrullero operador de tr,54
13557,asistente de alimentos,94
13558,maestro pinto,23
13559,analista de existencia,33
13560,lider teams,11
13561,encargada de emprendimien,24
13562,musica,34
13563,operario decargador fron,83
13564,mantenedor de procesos,31
13565,operario de frio,81
13566,de partie de desayuno,94
13567,moza,42
13568,proveedora,42
13569,tecnico de redes,35
13570,taller de mantencion,71
13571,cosechadora de cerezos,63
13572,comprador senior,24
13573,tec en toma de muestra,32
13574,control porteria,54
13575,lider produccion,13
13576,control produccion,13
13577,manejo de ganado,61
13578,obreros agricolas,92
13579,jefe de formacion,23
13580,sanwichero,94
13581,de camiones,83
13582,trabajador agricopla,61
13583,sushiero,94
13584,encargo de mantencion,81
13585,captura de burritos,63
13586,supervisor isla chiloe,23
13587,mecanica soldador,72
13588,paleador,92
13589,supervisor hidraulico,31
13590,coordinadora academico,23
13591,tecnico de telecomunicaci,31
13592,notificador en terreno,42
13593,tecnico en telecomunicaciones,35
13594,secretaria recepciionista,41
13595,cordinadora tecnica terri,36
13596,auxiliar de aseo y estafe,91
13597,barista y asist de venta,52
13598,galopador y amansador,61
13599,o0perador de maquinaria,81
13600,jefe supervisor de terren,13
13601,carpinteria y enfierrador,75
13602,administrativa adquisicio,33
13603,mecanico pesado,72
13604,preparador mecanico,72
13605,administrador de parque,14
13606,ingienera de presupuesto,21
13607,consultor integral,24
13608,auxiliar depatio,91
13609,tec lab clinico,32
13610,auxiliar de mecanica y va,71
13611,encargado de mantecion,81
13612,lider de calidad,12
13613,expedicion,21
13614,subproducto,no se encuentra en la lista de clasificaciones proporcionadas.
13615,diferencial,26
13616,subcoordinadora de servic,41
13617,asistente pedagogica,36
13618,jefe de servicio generale,12
13619,subjefe de taller,13
13620,analista de liquidacion,33
13621,envaladora,53
13622,jefe de control de gastos,24
13623,operador de secadora,81
13624,analista calidad,24
13625,ejecutiva remoto,12
13626,ayudante cañonero,92
13627,asistente de ser al clien,42
13628,auxiliar de mantenciones,91
13629,representante legal gg,26
13630,crew asistente,51
13631,supervisora de limpieza,91
13632,mecanico avanzado,72
13633,conductor maquinaria,83
13634,chef en restaurant,14
13635,asistente de panaderia,75
13636,psicologo convivencia esc,26
13637,asistente tecnico diferen,31
13638,movilizador chofer,83
13639,jefa experiencia cliente,12
13640,jefe informatica,25
13641,cocina y cubierta,94
13642,mantenimiento areas verde,91
13643,chofer forestal,83
13644,jefe de seguridad y salud,54
13645,ayudante final de linea,82
13646,asistente furgon,83
13647,encargada de taller ag,75
13648,ejectuvida de admision,41
13649,abogada direccion de obra,34
13650,ayudante quimica,31
13651,garzon y barman,52
13652,ensiladora,92
13653,maestro menores,23
13654,asistente laboral,41
13655,auxiliar de ingreso de mu,41
13656,vendora,52
13657,tecnico servicios general,34
13658,operador silo,81
13659,barman y garzon,52
13660,docente educacion basica,23
13661,operador de moldeo,81
13662,promotora y reponedora,52
13663,director ciclo,23
13664,customer y operaciones,42
13665,operadora de rescate,54
13666,despacachador madera,72
13667,m1 piping,31
13668,venta platos preparados,95
13669,asistente residencia,53
13670,manipulador de maquinaria,81
13671,cuidador de oveja,63
13672,jefe depto comercializaci,12
13673,especialista soldador,72
13674,tecnico y func admin,33
13675,operario en loza,75
13676,auxiliar estacionamiento,42
13677,asistente de clinica,32
13678,operdora,81
13679,jefe departamento,12
13680,carpinteria obra gruesa,75
13681,asistente serv generales,44
13682,guaria seguridad,54
13683,mantencion techumbres,71
13684,lavado de contenedores,92
13685,asistente de granel,91
13686,monitora sanitaria,32
13687,coordinadora area dental,32
13688,ayudante horno,75
13689,arquitecto y supervisor,21
13690,mecanico montador,72
13691,operador de fondaje,81
13692,operaria envasadora,75
13693,operario trozador,75
13694,jefe de cosecha,61
13695,auxiliar aseo lavanderia,91
13696,operador grua torre,81
13697,operador almacenamiento,81
13698,administrativa educacion,24
13699,ejecutivo de terreno,11
13700,encargada de comunicacion,25
13701,chofer de resguardo,83
13702,administrativa de op,42
13703,mecanico de linea,72
13704,system administrator,25
13705,mantenedor elctrico,31
13706,mecanico operario,72
13707,ayudante movil secado,91
13708,analista comunicaciones,25
13709,trasportador,83
13710,atencion diaria de niños,23
13711,coordinar de difusion,24
13712,operario sala control,81
13713,cargador de tintoreria,91
13714,psicologa de sicosocial,26
13715,auxiliar  de aseo,91
13716,ingeniero de mantenimient,31
13717,administrativo mulfuncion,33
13718,mecanico y electrico,72
13719,administraba,24
13720,auditora interna,24
13721,tens ambulancia,22
13722,operador de brazo,81
13723,tecnico asistente social,34
13724,conductor de autos,83
13725,encragada de o comunitari,51
13726,visual de tienda,42
13727,conductor y fiscalizador,83
13728,ayudante queseria,92
13729,gestor de negocios,24
13730,mantencian,91
13731,relacionadora publica,24
13732,pistolero industrial,73
13733,operario integral,71
13734,operador de picking,81
13735,lider de equipaje,42
13736,administrativo bps,33
13737,mecanico carrocero,72
13738,atencion de punto,42
13739,ayudante maestr,36
13740,lider de inovacion,11
13741,encargado de departamento,12
13742,profesional de niños,23
13743,encargado de remuneracion,33
13744,administrativa faena,43
13745,ayudante linea,82
13746,nutricionista asesor tecn,22
13747,maestra en ductos,72
13748,agente de servicios pasaj,42
13749,operador de singer,82
13750,control vale,41
13751,gerente de bebestible,12
13752,vendedora call center,52
13753,jefe de huertop,61
13754,operaria maquina termolam,72
13755,desbrote,61
13756,recepcion y rrhh,33
13757,tecen ingeen transito,21
13758,selador nochero,92
13759,maestro civil,31
13760,volante de estruccion,93
13761,oerador de maquina,81
13762,oficial de alarmas,54
13763,especialista de scanner,31
13764,coordinadora manufactura,13
13765,ejecutiva televentas,12
13766,asistente de deporte,34
13767,mecaninco industrial,72
13768,analista tributario,24
13769,entrenador fisico,34
13770,trabajador construccion,71
13771,instalador mecanico,72
13772,mantencion barricas de vi,71
13773,reponedora cajera,52
13774,operario despostador,75
13775,riego tomate a goteo,61
13776,reciclador de base,96
13777,operario ayudador,91
13778,movilizador tracto,83
13779,reoartidor,83
13780,operario de embalaje,75
13781,operaeria,73
13782,administrativo de operaci,33
13783,atencion a pasajeros,42
13784,maestro de armado,72
13785,preparadora de pedido,82
13786,emparillador de filete,75
13787,carpitero,73
13788,calibrador,31
13789,ing de software,25
13790,operador de liga termica,81
13791,despostrador,75
13792,tec especialista en clima,31
13793,asisitente contable,43
13794,operdador vertical,81
13795,operador de platos prepar,94
13796,prefesional de apoyo,44
13797,administrativo analista,33
13798,jefe de mina,93
13799,ingeniera en software,21
13800,chofer de maquinaria agri,83
13801,criud,91
13802,operador hidrolavadora,83
13803,ayudante de cargador,92
13804,trabajador contruccion,71
13805,especialista hidraulico,31
13806,informacion,24
13807,operario conductor,83
13808,supervisor de canola,61
13809,chaperona,24
13810,enferma,32
13811,m1 estructura,31
13812,operaria de ayudante coci,94
13813,operador fundidor,72
13814,transportista y operario,83
13815,tecnico ac,31
13816,agente de contact centrer,42
13817,mucama integral,91
13818,tec mantencion ascensores,31
13819,custodio de llaves y clav,54
13820,tecnico de pruebas experi,31
13821,asistente de reciclaje,96
13822,auxiliar de bar,41
13823,auxiliar de bodega invene,43
13824,cuadrilla,92
13825,gasolinero,42
13826,tele operadora,42
13827,guaradia,54
13828,alfañil,71
13829,brigadista primer auxilio,54
13830,supervisora de facturacio,33
13831,auxilirar de aseo,91
13832,recuperador,96
13833,peackeador,92
13834,ejectuva de cuentas,33
13835,inspector municipalidad,12
13836,administrador equipamient,24
13837,director gerencial,12
13838,operativo implementacion,81
13839,auxililar de aseo,91
13840,cobrador en terreno,42
13841,ejecutivo ventas mayorist,12
13842,agente de pasajes,42
13843,electomecanico,31
13844,asistente ed aseo,91
13845,promotor de venta s en p,52
13846,maestro chapero,34
13847,administrativa jefa,12
13848,eoa plus,35
13849,asistente en sala,41
13850,prof de refuerzo,23
13851,asistente de educacion au,36
13852,coordinadora de negocios,24
13853,tec soporte supervisor,35
13854,engargado,43
13855,auxiliar cacino,94
13856,inspector de fuga,31
13857,edocadora de parvulos,23
13858,fiscalizador de obra,71
13859,maestro mayor de segunda,31
13860,maestro hornero,75
13861,tecnico de anestesia,32
13862,carnicero aprendiz,92
13863,jefe grupo,11
13864,analista remuneraciones,33
13865,operario trafico,83
13866,capataz conductor,83
13867,operarias,73
13868,maestra de basica,23
13869,ensallista,82
13870,analista superior,24
13871,tec enfemeria y secretari,32
13872,lectura,23
13873,asistente de cultura,34
13874,op aseo,91
13875,tecnico superior,31
13876,control de asistente,36
13877,asistente de bus escolar,41
13878,operario cajero,41
13879,auxiliar de areas verde,91
13880,jefe visual,11
13881,preparador de arqueros,34
13882,secretaria aten publico,41
13883,encargada de cultura,34
13884,ito telecomunicaciones,25
13885,encargado despacho y logi,33
13886,operador escolta,54
13887,tcnico enmantencion de re,31
13888,coordinadora regional pro,11
13889,conductora de bus,83
13890,vendedor y reponedor,52
13891,promotor de servicio,42
13892,educadora diferencial pie,23
13893,coordinadora de layout,21
13894,supervisora de proceso,13
13895,limpieza de area verde,96
13896,operadora experto,81
13897,jefe de panaderia,73
13898,prospectora,92
13899,apoyo planta aseo industr,91
13900,operador de electrobomba,81
13901,tecnico de vidrio,31
13902,teceducacion parvularia,23
13903,impector de calidad,31
13904,asistente de la ed,36
13905,analista de caja,33
13906,volante de aseo,91
13907,profesional de proyecto,24
13908,profesora y coordindora,23
13909,ayudante matricero,72
13910,asistente educativo,36
13911,encargada de disciplina,23
13912,admisntrativo,33
13913,monitor pushback,83
13914,optb,no tengo información sobre "optb". por favor, proporciona una ocupación específica para poder clasificarla.
13915,controlador de proceso,81
13916,auxiliar de fisiologia,32
13917,j 45 servicio al cliente,42
13918,gruhero de horquilla,81
13919,coordinador taller,36
13920,operador cepilla wuaco,81
13921,cargadopr polifuncional,41
13922,jefa departamento local,12
13923,mecanica,72
13924,operaria costurera,75
13925,estiguard,51
13926,operador apilado,81
13927,ejec call center,42
13928,operador de retro excavad,83
13929,vuklcanizacion,72
13930,teclocalizador,31
13931,aspirante de cubierta,93
13932,asistente pasajeros,42
13933,sup de poda,61
13934,asistente de pista,83
13935,medico de cesfam,22
13936,promotor de pinturas,52
13937,m2 andamio,71
13938,manipuladora d alimentos,94
13939,mesero garzon,52
13940,lector agua potable,31
13941,operador traslados,83
13942,suervisor de obras,13
13943,mecanico envasado,72
13944,enfermera analista fisc,22
13945,cordinadora programa,24
13946,asesor comercial ventas,24
13947,tecnico trifasico,31
13948,tens de sector,34
13949,gente educativa,23
13950,talent and culture busine,24
13951,consultor de abastecimien,24
13952,encargado perfileria,72
13953,repartido de gas,83
13954,asisitente de extension,34
13955,jornal transitorio,96
13956,mecanico y operador,72
13957,maestro de 1era,23
13958,conductor equipos mineros,83
13959,peackeng mercaderia autos,92
13960,encargado de comunidad el,41
13961,coordinadora de medicina,22
13962,adiestrador de caballos,91
13963,tec salud familiar,32
13964,intalador en montaje,71
13965,operador ii,81
13966,aspirante a maestro de co,23
13967,ingebniero,21
13968,junion administrativo,41
13969,cordinadora de practica,23
13970,ingeniero manager,13
13971,funcionaria escrituras pu,41
13972,pillador de pollos,92
13973,ayudante de clasificacion,41
13974,jefe de valores,24
13975,encar tec logistico,35
13976,docente y tutora,23
13977,analista de planificacio,24
13978,director del programa,11
13979,adquisicion de bodega,33
13980,encargada de proydep,11
13981,ttecnico en odon,32
13982,profesor matematica,23
13983,polinizadora,61
13984,asistente de marketing,24
13985,senior manager,12
13986,reclutamiento,33
13987,ejecutiva cliente,12
13988,ingeniero de aplicacion,21
13989,ejecutivo atencion comer,14
13990,profesional de desarrollo,24
13991,lector rapartidor,43
13992,encargado centro armado,22
13993,enc convicencia escolar,36
13994,operario de control vehic,81
13995,jefe gestion,11
13996,tecnico maquina y herrami,31
13997,analista senior area com,24
13998,ayudante campo,92
13999,capitan de vuelo,21
14000,tramitadora,33
14001,encargada de armado,82
14002,maestro enchapador,72
14003,maestro armador soldador,72
14004,tecnico inspectora,31
14005,treining,23
14006,sub maestra de cocina,94
14007,operadora lider,34
14008,manipulacion de alimentos,94
14009,compras y administracion,24
14010,clinico analista,32
14011,receopcionista,42
14012,ejecutiva inbound,12
14013,linero operaciones,71
14014,bartender y cajero,52
14015,cosecha de cerezas,92
14016,person al d e seguyridad,54
14017,auxiliar de aseo y jardi,91
14018,jefe de sucursal viña,12
14019,armar casas,71
14020,tec especialista,31
14021,encargada compra y venta,24
14022,auxiliiar de aseo,91
14023,analista de control gesti,24
14024,revision de inventario,33
14025,supervisador,12
14026,jefe panaderia,31
14027,piloto en robotica submar,21
14028,anfitrion vendedor,52
14029,aseo industirial,91
14030,seguridad y logistica,54
14031,operador de plasma cnc,72
14032,operador equipo rov,81
14033,vendedora seguros,24
14034,encargado raf,91
14035,enfermero y administrativ,22
14036,asistente de menores,51
14037,encargada sag,no se puede clasificar la ocupación "encargada sag" ya que no está claramente definida en el contexto de las clasificaciones de ocupaciones de la oit proporcionadas. podría referirse a varios roles dependiendo del contexto específico, pero no hay un número que se asemeje a una ocupación reconocida.
14038,insp control calidad,31
14039,operador cosecha,61
14040,operario de comida rapida,94
14041,supervisora lavado,41
14042,auxiliar de servicio de u,41
14043,abasteciomiento,43
14044,jornal de construccion,71
14045,cortador de leña,63
14046,capataz obras,71
14047,trabajadoer habital,61
14048,encargado infraestructura,13
14049,encargada licencias,34
14050,tens nivel superior,23
14051,ingeniero en minas,21
14052,cudadora,53
14053,auxiliar de vestuario,41
14054,operdor bodega,41
14055,ayudante caldelero,92
14056,odontopediatra,22
14057,asesora de ventas integra,52
14058,recolector basura domicil,96
14059,patron y conductor,83
14060,tecnico en palmero,31
14061,contruccion y conductor,71
14062,recolectora de arandanos,63
14063,ayudante de marmolero,73
14064,encargada call center,42
14065,prevencion de perdida,54
14066,operador torre,81
14067,stewart,94
14068,encargada programa,24
14069,gamavictor,no se proporciona información sobre la ocupación "gamavictor". por lo tanto, no puedo clasificarla según las ocupaciones de la oit.
14070,analista en control,33
14071,conserva,92
14072,operador de madera,72
14073,secretaria secpla,41
14074,guardia y otros,54
14075,encargada de adquisicion,24
14076,aldamiero ayudante,91
14077,ingeniero en automatizacion,21
14078,agente de cobranza,33
14079,auxiliar de alimentancion,94
14080,ordemamiento,23
14081,limpieza maquinaria,81
14082,tecnico educativo,36
14083,med operacional,22
14084,tecnico educadora parvulo,36
14085,docente area ciencias,23
14086,maestro sushiero,73
14087,vulacanizador,72
14088,promotor de vendedor,52
14089,cuidadora rotativa,53
14090,despachador regional,12
14091,asitente,41
14092,jrefe de analisis sac,24
14093,ayudante de cañeria,72
14094,recepcionista de muestra,42
14095,atendedor mesones,42
14096,operador y varios,81
14097,soporte e informatica,25
14098,maestro entierrado,23
14099,enologa de vendimia,21
14100,seid advistor,24
14101,instrumentista de turno,32
14102,ingeniero de programacion,21
14103,operador termoformado,81
14104,mantencion aserradero,72
14105,seleccionador manual,82
14106,operador vaciador,81
14107,integrador de taller,36
14108,teammember,41
14109,auxiliar de aviacion,91
14110,asitente de parvulo,36
14111,ni mecanico,72
14112,sale abisor,92
14113,jefe de some,11
14114,tecnico de educacion,36
14115,cargador estivador,93
14116,encargado de aceituna,61
14117,manipuladora especializad,75
14118,profesor religion,23
14119,jefe de diseño y ventas,24
14120,equipos terminales,25
14121,multiski,no puedo clasificar "multiski" ya que no es una ocupación reconocida en la lista proporcionada. por favor proporciona una ocupación específica para su clasificación.
14122,operadora de parquimetro,42
14123,operario triperia,75
14124,funcionario operacional,41
14125,jefa sar aguas negras,34
14126,moldeacero,72
14127,cuidadora niños,53
14128,operario de turno,81
14129,tecnicio paramedico,32
14130,coordinadora del centro,23
14131,asistente de educ especi,36
14132,perador de equipo,81
14133,chofer horquillero,83
14134,ayudante accion cristiana,91
14135,seleccion de frutas,92
14136,marino cubierta,62
14137,tec diferencial,31
14138,vendedor de electronica,52
14139,atencion de publico y ase,42
14140,alizador de implantes,21
14141,tecnico en aux de parvulo,36
14142,bodega y atencion publico,42
14143,jefa de biblioteca,23
14144,asistente de administrati,44
14145,tec emergencia,32
14146,cargador descargador,96
14147,mercaderista en terreno,52
14148,superviso higene hospital,32
14149,tecnico en oparvulos,36
14150,staff full am,41
14151,operario pabellon,81
14152,residente de obra y condu,71
14153,encargado cultivo,61
14154,cajera digitador,41
14155,ayudante de ductero,75
14156,bioquimico,21
14157,alimentador astillador,72
14158,profesora de gastronomia,23
14159,sub administrador,12
14160,huincha,96
14161,encargada loca,91
14162,laboratorio dental,31
14163,encargada de planta,13
14164,encargado de recepcion y despacho,41
14165,orientadora y profesora,23
14166,supervisor de laboratorio,31
14167,directora de proyectos,12
14168,asistente tecnico de aula,36
14169,auxiliar deaseo,91
14170,tecnico previctivo,31
14171,encargado de aire,31
14172,isnpector de muestreo,72
14173,rostisera,94
14174,operador m2,81
14175,director aseo y ornato,11
14176,mantenedor de procesos mecanicos,31
14177,encargarda de reclutamien,24
14178,asistente de cuentas,33
14179,ayudante carpintero segur,75
14180,maesto instalador de mueb,72
14181,trabajador multifuncional,51
14182,personal multifuncional,41
14183,junior administartivo,33
14184,varista cajero,42
14185,analista transporte,21
14186,internador,22
14187,inspector tec telecomunic,31
14188,servicios generales y seg,54
14189,diseñador de muebles,73
14190,director de ventas latam,12
14191,ayudante de motocierrista,92
14192,aux de anestesia,32
14193,administrativo causa,33
14194,tecnico en fusion,31
14195,analista de desarrollo qu,25
14196,electrico ii,71
14197,operador maq envasado,81
14198,m 1,11
14199,gerente agricola,11
14200,pandejero,75
14201,campero jefe,61
14202,administrativo conductor,83
14203,gerente tienda,12
14204,comunicadora audiovisual,21
14205,tecn educ parv,36
14206,auxiliar y portero,91
14207,encargado de bodega y despacho,42
14208,inspectora de formacion,36
14209,costura,73
14210,coordinadora inmobiliaria,24
14211,especialista b,21
14212,gastronomia,14
14213,despachador incendios,54
14214,docente programa de integ,23
14215,profesional gore,21
14216,analista documental,31
14217,especialista limpiza,91
14218,profesor de deporte,23
14219,area de despacho,41
14220,filtro,34
14221,auxciliar de aseo,91
14222,encargado turno,14
14223,tecnco en enfermeria,32
14224,maestro de cañeria,72
14225,afilador,73
14226,encargada del pae,23
14227,reposicion y orden,41
14228,asistente en terreno,51
14229,revision mecanica,72
14230,tutora tea,23
14231,academica de planta,23
14232,bodeguera de alimentacion,43
14233,op mantenedor ref,31
14234,conductora van empresa,83
14235,inspectora basico,34
14236,ayudante operador maq,81
14237,area de aseo,91
14238,operador de logistico,33
14239,tecnico nivel superior en,31
14240,encargado de acta,44
14241,oficial panificador,75
14242,asistente de ed diferenc,36
14243,partero y ordeñador,22
14244,asistente ejecutivo,44
14245,tecnico en edu especial,36
14246,observador terrestre,22
14247,lavador vehiculos,96
14248,encarda de inventarios,33
14249,aseo de calles,91
14250,ingeniero admin,21
14251,administrativa y operacio,33
14252,encargado de ingreso,41
14253,jefe de topografia,21
14254,shop deasgn spepialist,24
14255,trabajadora material,96
14256,ayudante de reparacion,72
14257,timmember,61
14258,auxiliar de induccion,34
14259,auxiliar de viaje,42
14260,experto en limpieza,91
14261,recolector residuos dom,96
14262,maestro de empalme,73
14263,asistete de educacion,36
14264,encarado cep y pme,91
14265,mecanido frp,72
14266,inspector fiscalizador,34
14267,trabajador de mantencion,91
14268,tens cirugia,22
14269,bodega quimico,21
14270,supervisor de mudanza,41
14271,auxiliar de corte,73
14272,analista de participacion,24
14273,motosierrista forestal in,62
14274,educadora de parvulos enc,23
14275,ayudante calderero,72
14276,ajente de ventas,52
14277,encargada de crianza,51
14278,sub productos,96
14279,auxiliar plataforma,41
14280,conductor ayudante de bod,83
14281,confecciones de camara,75
14282,jefe desarrollo product,13
14283,encargada sala generacion,81
14284,maestro talador,62
14285,experta empresa,24
14286,capturadora,82
14287,conductor asist log en te,83
14288,pickmg,96
14289,auxiliar de empresa,41
14290,ayudante de menico,91
14291,reparador de bines,73
14292,tecnico general,31
14293,asistente anden,41
14294,colcenter,42
14295,insector ofsag,no puedo clasificar la ocupación "insector ofsag" porque no parece ser una ocupación reconocida. por favor, verifica el término o proporciona otra ocupación.
14296,revision calidad,31
14297,guardia nde seguridad,54
14298,supervisor administrativo,12
14299,movilisador,83
14300,electrico y chofer,73
14301,asistente procuradora,34
14302,asistente logistica inven,41
14303,auxiliar de servicions,44
14304,ayudante de camino,91
14305,tec atencion social,34
14306,cosejero tecnico,21
14307,oper de maquinaria,81
14308,tecen maquinas de lav,81
14309,repartidora de boletas,92
14310,tecnico en parv,36
14311,supervisora de enfermeria,22
14312,palillero,92
14313,asistente docente,36
14314,analista en prev de riesg,24
14315,trabajador de temproada,92
14316,maestro tercera,23
14317,operador sip,81
14318,operativo bodega ii,81
14319,inspectora asistente de,34
14320,jefe sala ordeña,61
14321,tecnico en turbos,31
14322,jefe de matencion,12
14323,coordinador de isla,14
14324,asistente bodea,44
14325,lavado,96
14326,maneja tractor,83
14327,bodega y roperia,92
14328,operador bomba telescop,81
14329,operario de yale,81
14330,lagunero,63
14331,lencera mucama,91
14332,encargado de facturacion,33
14333,planta docente,23
14334,aspirante encargada,41
14335,ayudante embalador,82
14336,jefe de activos fijos,12
14337,retenedora de equipaje,42
14338,cuidadora de animal,51
14339,jardinero y operador,61
14340,reponedora nocturna,52
14341,pulidora,72
14342,ejecutivo comercial grand,12
14343,analista de productos,24
14344,encargado de previo,43
14345,socio,26
14346,conductor y jefe patio,83
14347,operador de 1,81
14348,inspectora de prosesos,31
14349,coordinador y planificado,12
14350,lider cocina,14
14351,encargado de depto inform,25
14352,tecnico en escalas,31
14353,gerente cuentas,12
14354,tec profesional en radio,31
14355,administrativo gestion,24
14356,ayudante de cocina casino,94
14357,jefa creditos,24
14358,ejecutivo lider,11
14359,jefe y maestro,23
14360,aulxiliar de aseo,91
14361,asistente transporte,83
14362,jefa de garzona,42
14363,tecnico priotority,31
14364,ayudante electro mecanico,31
14365,montajista soldador,72
14366,operaria de fabrica,93
14367,bodega  despacho,43
14368,asistente de produccioon,33
14369,maestro en instal de ven,31
14370,jefa de planta,13
14371,supervisora inbaunt,12
14372,operariod e ramplas,71
14373,operadore,81
14374,administrrativos,33
14375,lector medidor enerig ele,41
14376,vendedor oficina,42
14377,asistente de mecanico,72
14378,operador de horno,81
14379,encargado bodega y logist,33
14380,ayudante tecnico en terre,31
14381,maestro de estructura met,72
14382,reparador contendores,72
14383,lider agencia,11
14384,operria,93
14385,maestro hojalatero y sold,72
14386,ordeñador de vaca,92
14387,gestion de compras,24
14388,tec de farmacia,32
14389,inspector de carga,83
14390,supervisora de visual,34
14391,asistente educacion aula,36
14392,instructor ski,36
14393,educacion parvularia,23
14394,ventas y clientes,52
14395,ayudante pollero,92
14396,operador cortador,82
14397,operador relevo,81
14398,tecnico educacion de parv,36
14399,venta combustible,52
14400,asistente pasillo,91
14401,subgerente servtecnico,12
14402,coordinador de grupo,41
14403,maestro dos,23
14404,admin de asistencia,41
14405,analista senior financier,33
14406,talador de altura,62
14407,movimiento animal,51
14408,aux de cocina,94
14409,tec empresas,25
14410,ing biomedica,21
14411,tecnico en soorte,34
14412,administrativo jefe,12
14413,operario aseo nocturno,91
14414,prof unidad juridica,26
14415,tecnico smeed,31
14416,administrador de flota,12
14417,jefe de contac center,14
14418,gerenta tecnico,13
14419,fonoudiologa,22
14420,operador de equipo herram,81
14421,quimico especialista,21
14422,tramitador judicial,34
14423,loguistica,24
14424,asistente terminaciones,41
14425,ayudante y cromador,82
